Lot Area,Neighborhood,Bldg Type,House Style,Year Built,Year Remod/Add,Full Bath,Bedroom AbvGr,SalePrice
31770,NAmes,Single-Family,1,1960,1960,1,3,215000
11622,NAmes,Single-Family,1,1961,1961,1,2,105000
14267,NAmes,Single-Family,1,1958,1958,1,3,172000
11160,NAmes,Single-Family,1,1968,1968,2,3,244000
13830,Gilbert,Single-Family,2,1997,1998,2,3,189900
9978,Gilbert,Single-Family,2,1998,1998,2,3,195500
4920,StoneBr,Townhouse,1,2001,2001,2,2,213500
5005,StoneBr,Townhouse,1,1992,1992,2,2,191500
5389,StoneBr,Townhouse,1,1995,1996,2,2,236500
7500,Gilbert,Single-Family,2,1999,1999,2,3,189000
10000,Gilbert,Single-Family,2,1993,1994,2,3,175900
7980,Gilbert,Single-Family,1,1992,2007,2,3,185000
8402,Gilbert,Single-Family,2,1998,1998,2,3,180400
10176,Gilbert,Single-Family,1,1990,1990,1,2,171500
6820,StoneBr,Townhouse,1,1985,1985,1,1,212000
12134,Gilbert,Single-Family,2,1988,2005,2,4,164000
19138,Gilbert,Single-Family,1,1951,1951,1,2,141000
13175,NWAmes,Single-Family,1,1978,1988,2,3,210000
11751,NWAmes,Single-Family,1,1977,1977,2,3,190000
10625,NWAmes,Single-Family,2,1974,1974,2,3,170000
7500,Somerst,Single-Family,2,2000,2000,2,3,216000
11241,NAmes,Single-Family,1,1970,1970,1,2,149000
12537,NAmes,Single-Family,1,1971,2008,1,3,149900
8450,NAmes,Single-Family,1,1968,1968,1,3,142000
8400,NAmes,Single-Family,1,1970,1970,1,2,126000
10500,NAmes,Single-Family,1,1971,1971,1,3,115000
5858,NAmes,Townhouse,1,1999,1999,2,2,184000
1680,BrDale,Townhouse,2,1971,1971,1,2,96000
4043,NPkVill,Townhouse,1,1977,1977,2,2,127500
2280,NPkVill,Townhouse,2,1975,1975,2,3,149900
2280,NPkVill,Townhouse,1,1975,1975,1,2,120000
2280,NPkVill,Townhouse,2,1978,1978,2,3,146000
12883,NridgHt,Single-Family,1,2009,2010,2,3,290941
12182,NridgHt,Single-Family,1,2005,2005,2,3,220000
11520,NridgHt,Single-Family,1,2005,2005,2,3,275000
14122,NridgHt,Single-Family,1,2005,2006,2,3,259000
10171,NridgHt,Single-Family,1,2004,2004,2,3,214000
6371,NridgHt,Townhouse,1,2009,2010,2,2,224000
7132,NridgHt,Townhouse,1,2006,2006,2,2,205000
2628,NridgHt,Townhouse,2,2003,2003,2,2,175500
18494,Gilbert,Single-Family,1,2005,2005,2,3,199500
3203,Blmngtn,Townhouse,1,2006,2006,2,2,160000
3182,Blmngtn,Townhouse,1,2004,2005,2,2,192000
13300,Gilbert,Single-Family,2,2004,2004,2,3,184500
7851,Gilbert,Single-Family,2,2002,2002,2,4,216500
8577,Gilbert,Single-Family,2,2004,2004,2,3,185088
7750,Gilbert,Single-Family,2,2000,2000,2,3,180000
9505,Gilbert,Single-Family,2,2001,2001,2,3,222500
10593,NoRidge,Single-Family,1,1996,1996,2,3,260400
11764,NoRidge,Single-Family,2,1999,2007,2,4,290000
16770,NoRidge,Single-Family,2,1998,1998,2,4,221000
8987,Somerst,Single-Family,1,2005,2006,2,2,221500
9215,Somerst,Single-Family,1,2009,2010,2,2,204500
8640,Somerst,Single-Family,2,2009,2009,2,3,215200
9000,Somerst,Single-Family,1,2008,2008,2,3,262500
12552,Somerst,Single-Family,2,2004,2005,2,3,254900
10440,Somerst,Single-Family,1,2005,2005,2,2,271500
10142,SawyerW,Single-Family,2,2004,2004,2,4,233000
11920,SawyerW,Single-Family,2,2004,2004,2,3,181000
8880,SawyerW,Single-Family,2,1994,2002,2,3,205000
8012,SawyerW,Townhouse,1,1980,1980,2,2,143000
11218,SawyerW,Single-Family,2,1992,1992,2,3,189000
7892,SawyerW,Townhouse,1,1979,1979,2,2,99500
7175,SawyerW,Townhouse,1,1984,1984,1,2,125000
9453,SawyerW,Single-Family,2,1993,2003,2,3,194500
9672,SawyerW,Single-Family,1,1984,1985,2,3,152000
8400,SawyerW,Single-Family,2,1980,1981,2,3,171000
8930,Sawyer,Multi-Family,2,1978,1978,2,4,112000
11782,Sawyer,Single-Family,2,1961,1995,1,3,148000
8450,Sawyer,Single-Family,1,1965,2009,1,3,138500
9819,Sawyer,Single-Family,1,1967,1967,1,3,122000
7500,Sawyer,Single-Family,1,1963,1963,1,3,133000
6897,Sawyer,Single-Family,1,1962,2010,1,3,127000
15410,Sawyer,Single-Family,1,1974,2002,2,3,169000
10186,NoRidge,Single-Family,2,1992,1992,2,3,190000
11134,NoRidge,Single-Family,2,1992,1993,2,4,285000
4835,Somerst,Townhouse,1,2004,2005,2,2,260000
3515,Somerst,Townhouse,2,2004,2004,2,2,190000
3215,Somerst,Townhouse,2,2004,2004,2,2,155000
3182,Somerst,Townhouse,2,2004,2005,2,2,151000
2544,Somerst,Townhouse,2,2004,2005,2,2,149500
2544,Somerst,Townhouse,2,2005,2005,2,2,152000
4403,Somerst,Single-Family,1,2009,2009,2,2,222000
2117,Somerst,Townhouse,2,2000,2000,2,3,177500
2980,Somerst,Townhouse,2,2000,2000,2,2,177000
2572,Somerst,Townhouse,2,1999,1999,2,3,155000
2403,Somerst,Townhouse,2,2003,2003,2,2,147110
12853,Somerst,Single-Family,1,2010,2010,1,1,267916
7379,Somerst,Single-Family,2,2000,2000,2,3,254000
4420,Greens,Townhouse,1,1980,1980,1,1,155000
3880,Greens,Townhouse,1,1978,1978,1,1,206000
13517,Sawyer,Single-Family,2,1976,2005,2,3,130500
8000,Somerst,Single-Family,1,2002,2002,2,3,230000
10456,NWAmes,Single-Family,1,1967,1967,2,4,218500
10791,NWAmes,Single-Family,2,1993,1993,2,4,243500
10603,NWAmes,Single-Family,1,1977,2001,2,3,205000
18837,NWAmes,Single-Family,2,1978,1978,3,3,212500
10421,NWAmes,Single-Family,2,1988,1988,2,3,196500
9360,NWAmes,Single-Family,1,1972,2006,1,3,197500
9600,NWAmes,Single-Family,2,1971,1971,1,4,171000
9600,NAmes,Single-Family,1,1966,1966,1,3,142250
9790,NWAmes,Single-Family,1,1963,1963,1,3,143000
9320,NAmes,Single-Family,1,1959,1959,1,3,128950
9900,NAmes,Single-Family,1,1966,1966,1,3,159000
9680,NAmes,Single-Family,1,1967,1967,2,3,178900
10600,NAmes,Single-Family,2,1964,1964,2,3,136300
14112,NAmes,Single-Family,2,1964,1964,1,3,180500
8800,NAmes,Single-Family,2,1963,1963,1,3,137500
13260,NAmes,Multi-Family,1,1962,2001,2,6,84900
9717,NAmes,Single-Family,1,1950,1996,1,2,142125
9724,NAmes,Single-Family,2,1952,2002,2,3,197600
17360,NAmes,Single-Family,2,1949,1950,2,3,172500
7207,BrkSide,Single-Family,1,1958,2008,1,2,116500
9920,NAmes,Single-Family,1,1954,1954,1,3,128000
9600,NAmes,Single-Family,2,1955,1972,1,3,153000
7800,NAmes,Single-Family,1,1954,1954,1,2,132000
11380,NAmes,Single-Family,2,1966,2008,1,2,178000
11600,NAmes,Multi-Family,2,1960,1960,2,5,154300
19900,NAmes,Single-Family,1,1970,1989,2,3,180000
16492,NAmes,Single-Family,1,1966,2002,2,2,190000
8267,NAmes,Multi-Family,1,1958,1958,2,4,135000
8197,NAmes,Single-Family,1,2003,2009,2,3,214000
8050,NAmes,Single-Family,1,1959,1959,1,3,136000
10552,NAmes,Single-Family,1,1959,1959,1,4,165500
8400,NAmes,Single-Family,1,1957,1957,1,3,145000
8760,NAmes,Single-Family,1,1959,1959,1,3,148000
12160,NAmes,Single-Family,1,1959,1959,1,3,142000
9300,NAmes,Single-Family,1,1960,1960,1,3,167500
10725,NAmes,Single-Family,1,1959,1959,1,3,108538
10032,NAmes,Single-Family,1,1959,1959,1,3,159500
8382,NAmes,Single-Family,2,1956,1956,1,3,108000
10950,NAmes,Single-Family,1,1952,1952,1,2,135000
10895,NAmes,Single-Family,1,1955,1955,1,3,122500
13587,NAmes,Multi-Family,1,1958,1958,1,2,119000
7922,NAmes,Single-Family,1,1953,2007,1,3,109000
7898,NAmes,Single-Family,1,1920,1994,1,2,105000
7200,NAmes,Single-Family,1,1955,2007,1,2,107500
10200,NAmes,Single-Family,1,1954,2003,1,3,144900
5868,NAmes,Single-Family,1,1956,2000,1,2,129000
